doc_id,item,category,amount,price,discount
3886-EC-2,Кружка мал.,Посуда,14,630.37,228.17
3886-EC-2,Пиджак жен.,Одежда,19,2293.44,152.52
3886-EC-2,Свитер муж.,Одежда,2,490.57,48.79
3886-EC-2,Свитер жен.,Одежда,3,5474.5,1346.59
9931-EC-2,Сковорода сред.,Посуда,3,213.76,83.61
8505-EC-2,Универсальный очиститель 0.25 л.,Бытовая химия,5,5649.65,2307.41
8165-EC-2,Футболка белая дет.,Одежда,4,6403.1,2428.85
8165-EC-2,Подушка на стул цв. синий,Текстиль,3,9694.76,61.46
8165-EC-2,Свитер дет.,Одежда,19,9928.9,3846.44
8165-EC-2,Комплект постельного белья цв. зеленый,Текстиль,16,2773.53,885.24
4959-EC-2,Дезинфицирующий спрей 0.5 л.,Бытовая химия,3,1905.6,558.48
1495-EC-2,Полотенце кухонное цв. черный,Текстиль,11,9517.35,2534.38
2585-EC-2,Покрывало стеганое цв. белый,Текстиль,13,3138.7,273.2
2143-EC-2,Сковорода бол.,Посуда,11,5877.57,1888.63
2143-EC-2,Свитер муж.,Одежда,10,1295.76,490.39
2143-EC-2,Концентрат очищающий 0.25 л.,Бытовая химия,18,8795.2,659.6
8381-EC-2,Кастрюля сред.,Посуда,10,8037.58,3665.87
8381-EC-2,Моющий гель 0.75 л.,Бытовая химия,14,242.1,55.93
8381-EC-2,Покрывало стеганое цв. зеленый,Текстиль,16,8537.35,1441.32
8381-EC-2,Полотенце кухонное цв. черный,Текстиль,19,1372.28,66.92
8381-EC-2,Комплект постельного белья цв. белый,Текстиль,9,3595.74,1378.14
8029-EC-2,Полотенце махровое цв. черный,Текстиль,2,7263.67,2086.17
8029-EC-2,Пиджак муж.,Одежда,14,418.18,131.22
8029-EC-2,Полотенце кухонное цв. белый,Текстиль,16,2613.99,870.57
8029-EC-2,Средство моющее 0.5 л.,Бытовая химия,15,8911.42,998.78
8029-EC-2,Кружка бол.,Посуда,20,8927.19,1414.48
9737-EC-2,Покрывало стеганое цв. черный,Текстиль,16,3241.54,510.24
9737-EC-2,Сковорода сред.,Посуда,20,5448.44,1900.86
9737-EC-2,Кружка сред.,Посуда,3,1251.53,420.15
4332-EC-2,Сковорода бол.,Посуда,7,976.82,246.13
4332-EC-2,Концентрат очищающий 0.25 л.,Бытовая химия,19,3524.53,1280.61
3232-EC-2,Кружка бол.,Посуда,9,270.98,61.38
3232-EC-2,Свитер жен.,Одежда,10,2507.91,351.27
3232-EC-2,Футболка белая муж.,Одежда,17,8864.85,1996.49
3232-EC-2,Концентрат очищающий 1 л.,Бытовая химия,6,5218.56,16.22
3166-EC-2,Покрывало стеганое цв. черный,Текстиль,8,4158.25,1033.4
3166-EC-2,Подушка на стул цв. зеленый,Текстиль,13,9216.61,243.49
3166-EC-2,Дезинфицирующий спрей 5 л.,Бытовая химия,17,1794.59,198.98
8006-EC-2,Средство моющее 5 л.,Бытовая химия,3,7686.68,742.86
8006-EC-2,Полотенце кухонное цв. черный,Текстиль,1,9551.39,412.74
8006-EC-2,Покрывало стеганое цв. зеленый,Текстиль,15,7755.52,283.89
8006-EC-2,Дезинфицирующий спрей 0.75 л.,Бытовая химия,11,2304.42,716.35
