doc_id,item,category,amount,price,discount
7181-BB-6,Куртка осенняя дет.,Одежда,16,5847.9,666.88
7181-BB-6,Пальто зимнее дет.,Одежда,6,8188.64,3198.0
7181-BB-6,Универсальный очиститель 1 л.,Бытовая химия,7,9731.23,2268.6
7181-BB-6,Кастрюля сред.,Посуда,4,3945.21,1442.76
7181-BB-6,Кастрюля сред.,Посуда,13,4770.88,1275.71
9642-BB-6,Универсальный очиститель 1 л.,Бытовая химия,10,2303.89,585.97
9642-BB-6,Подушка на стул цв. белый,Текстиль,8,6943.38,2139.38
9642-BB-6,Кастрюля мал.,Посуда,14,4153.54,1408.41
9642-BB-6,Подушка на стул цв. зеленый,Текстиль,5,9754.12,2369.86
8912-BB-6,Миска сред.,Посуда,16,7208.95,1268.91
8912-BB-6,Пальто зимнее жен.,Одежда,10,6136.97,1625.8
8912-BB-6,Футболка белая муж.,Одежда,16,9042.83,3685.27
8912-BB-6,Футболка белая дет.,Одежда,10,4973.86,2458.18
5809-BB-6,Полотенце махровое цв. белый,Текстиль,4,4518.8,1036.78
5809-BB-6,Моющий гель 0.75 л.,Бытовая химия,8,4918.4,1902.17
5809-BB-6,Свитер муж.,Одежда,20,5305.76,893.8
6684-BB-6,Миска сред.,Посуда,17,469.41,38.69
6684-BB-6,Моющий гель 0.75 л.,Бытовая химия,7,3677.78,888.7
8387-BB-6,Кружка сред.,Посуда,3,371.23,143.0
8387-BB-6,Моющий гель 0.5 л.,Бытовая химия,14,1381.47,187.14
9301-BB-6,Полотенце кухонное цв. синий,Текстиль,14,8652.96,1297.3
9301-BB-6,Пальто зимнее жен.,Одежда,14,8313.19,1098.9
1785-BB-6,Миска мал.,Посуда,3,7892.42,877.81
1785-BB-6,Пиджак дет.,Одежда,10,4976.53,473.64
1785-BB-6,Полотенце махровое цв. черный,Текстиль,19,3865.57,1048.33
2806-BB-6,Концентрат очищающий 0.25 л.,Бытовая химия,17,9193.21,1072.55
2806-BB-6,Покрывало стеганое цв. синий,Текстиль,6,9107.48,792.87
2806-BB-6,Универсальный очиститель 5 л.,Бытовая химия,8,835.81,372.44
