doc_id,item,category,amount,price,discount
9591-DA-3,Миска сред.,Посуда,2,1332.72,252.81
5013-DA-3,Кружка мал.,Посуда,1,8978.72,2.68
5013-DA-3,Сковорода бол.,Посуда,6,4524.61,1348.84
5013-DA-3,Свитер муж.,Одежда,6,6468.93,205.19
5013-DA-3,Пальто зимнее муж.,Одежда,18,1220.8,571.66
5013-DA-3,Универсальный очиститель 0.75 л.,Бытовая химия,11,6373.35,2405.0
7787-DA-3,Универсальный очиститель 0.25 л.,Бытовая химия,11,889.77,250.4
7787-DA-3,Полотенце махровое цв. черный,Текстиль,5,8621.6,935.96
3689-DA-3,Моющий гель 0.25 л.,Бытовая химия,3,4904.38,231.16
3689-DA-3,Покрывало стеганое цв. зеленый,Текстиль,16,7639.87,1757.14
3689-DA-3,Полотенце кухонное цв. зеленый,Текстиль,5,4896.3,596.42
3689-DA-3,Подушка на стул цв. зеленый,Текстиль,19,6883.2,308.72
4886-DA-3,Моющий гель 0.25 л.,Бытовая химия,1,8893.55,4184.94
4886-DA-3,Сковорода бол.,Посуда,2,9362.15,716.81
4886-DA-3,Дезинфицирующий спрей 0.5 л.,Бытовая химия,11,9759.43,1629.64
4886-DA-3,Куртка осенняя жен.,Одежда,15,9874.32,3361.6
5933-DA-3,Кастрюля мал.,Посуда,4,3042.46,1200.14
4679-DA-3,Дезинфицирующий спрей 5 л.,Бытовая химия,18,2378.47,231.38
4679-DA-3,Средство моющее 0.75 л.,Бытовая химия,10,8337.26,2124.92
4679-DA-3,Салатник бол.,Посуда,16,9418.1,2945.82
4679-DA-3,Сковорода мал.,Посуда,19,1450.41,410.49
3218-DA-3,Салатник бол.,Посуда,1,4885.3,1804.11
3218-DA-3,Средство моющее 0.25 л.,Бытовая химия,11,1518.67,139.73
8067-DA-3,Средство моющее 5 л.,Бытовая химия,13,3283.93,362.4
8067-DA-3,Полотенце кухонное цв. красный,Текстиль,7,3891.16,536.79
8067-DA-3,Средство моющее 0.75 л.,Бытовая химия,2,6809.24,215.19
2408-DA-3,Миска сред.,Посуда,16,973.33,219.94
2408-DA-3,Средство моющее 0.25 л.,Бытовая химия,10,4337.68,1076.54
2408-DA-3,Футболка белая муж.,Одежда,8,8619.74,3555.52
1958-DA-3,Средство моющее 0.25 л.,Бытовая химия,19,3781.58,1331.19
6064-DA-3,Полотенце махровое цв. белый,Текстиль,8,718.95,229.19
6064-DA-3,Дезинфицирующий спрей 0.25 л.,Бытовая химия,3,2942.19,981.96
6064-DA-3,Подушка на стул цв. черный,Текстиль,3,4662.69,1359.11
6064-DA-3,Салатник мал.,Посуда,9,1764.28,0.73
5422-DA-3,Полотенце кухонное цв. красный,Текстиль,2,447.7,29.87
5422-DA-3,Дезинфицирующий спрей 5 л.,Бытовая химия,5,8625.56,2660.93
5037-DA-3,Подушка на стул цв. зеленый,Текстиль,20,1298.49,185.17
5037-DA-3,Покрывало стеганое цв. белый,Текстиль,10,3290.31,1414.35
5250-DA-3,Моющий гель 0.75 л.,Бытовая химия,2,3052.34,810.2
5250-DA-3,Полотенце махровое цв. красный,Текстиль,4,2344.6,882.88
4262-DA-3,Универсальный очиститель 0.5 л.,Бытовая химия,13,7559.86,1083.12
4262-DA-3,Куртка осенняя муж.,Одежда,1,4619.87,2081.46
4262-DA-3,Универсальный очиститель 0.5 л.,Бытовая химия,11,968.73,441.65
