doc_id,item,category,amount,price,discount
2017-DB-1,Полотенце махровое цв. черный,Текстиль,11,2428.17,1197.69
3041-DB-1,Сковорода мал.,Посуда,14,1862.89,157.17
3041-DB-1,Подушка на стул цв. черный,Текстиль,1,8918.77,212.59
3041-DB-1,Кастрюля мал.,Посуда,14,4891.74,900.69
3041-DB-1,Кружка бол.,Посуда,19,4718.7,979.13
3041-DB-1,Футболка белая жен.,Одежда,4,2616.76,575.1
6680-DB-1,Миска бол.,Посуда,14,7117.3,3507.12
8090-DB-1,Покрывало стеганое цв. красный,Текстиль,17,3511.24,1622.31
8090-DB-1,Кружка мал.,Посуда,10,2183.3,443.38
5892-DB-1,Комплект постельного белья цв. черный,Текстиль,16,3279.2,801.72
5892-DB-1,Пальто зимнее дет.,Одежда,18,9026.18,2120.41
5892-DB-1,Миска мал.,Посуда,3,1741.97,403.91
5892-DB-1,Кастрюля сред.,Посуда,8,9005.68,3406.61
6971-DB-1,Куртка осенняя жен.,Одежда,18,6904.77,2539.36
6971-DB-1,Полотенце махровое цв. зеленый,Текстиль,10,6149.8,2897.63
6971-DB-1,Комплект постельного белья цв. красный,Текстиль,5,2126.75,154.53
5182-DB-1,Пальто зимнее дет.,Одежда,10,1436.32,318.98
9298-DB-1,Сковорода сред.,Посуда,4,7627.1,261.4
2750-DB-1,Футболка белая жен.,Одежда,14,5979.75,2621.41
2750-DB-1,Сковорода мал.,Посуда,1,9346.42,3065.78
3875-DB-1,Миска бол.,Посуда,18,2072.13,774.54
3875-DB-1,Свитер муж.,Одежда,3,5934.4,439.38
3848-DB-1,Подушка на стул цв. синий,Текстиль,10,1458.13,378.61
1362-DB-1,Куртка осенняя жен.,Одежда,12,5396.84,1483.6
1362-DB-1,Подушка на стул цв. красный,Текстиль,5,2750.4,343.8
1362-DB-1,Футболка белая дет.,Одежда,8,2276.17,833.7
1362-DB-1,Кружка сред.,Посуда,3,5776.96,1346.67
1362-DB-1,Комплект постельного белья цв. красный,Текстиль,17,2570.74,1081.15
8277-DB-1,Свитер дет.,Одежда,3,9124.26,3257.88
8277-DB-1,Универсальный очиститель 0.25 л.,Бытовая химия,4,2642.33,745.59
8277-DB-1,Салатник сред.,Посуда,8,3660.19,1264.2
4695-DB-1,Концентрат очищающий 0.25 л.,Бытовая химия,10,2017.14,134.97
4695-DB-1,Свитер муж.,Одежда,14,2210.17,999.5
3738-DB-1,Сковорода сред.,Посуда,17,9697.17,1929.26
6245-DB-1,Моющий гель 1 л.,Бытовая химия,3,7091.89,1768.42
6245-DB-1,Кружка мал.,Посуда,1,8887.58,3148.26
6245-DB-1,Полотенце кухонное цв. красный,Текстиль,20,7228.27,3295.56
9741-DB-1,Моющий гель 0.25 л.,Бытовая химия,8,5731.13,1247.68
9459-DB-1,Моющий гель 0.75 л.,Бытовая химия,19,2267.74,877.92
9459-DB-1,Кастрюля сред.,Посуда,1,2885.24,1415.67
9459-DB-1,Салатник мал.,Посуда,20,2060.4,479.73
1937-DB-1,Дезинфицирующий спрей 1 л.,Бытовая химия,5,2240.84,34.12
1937-DB-1,Полотенце кухонное цв. синий,Текстиль,19,2850.79,170.64
1937-DB-1,Футболка белая муж.,Одежда,7,2510.63,673.77
1937-DB-1,Универсальный очиститель 0.25 л.,Бытовая химия,10,2741.7,1012.3
6028-DB-1,Пиджак дет.,Одежда,8,9578.26,3710.39
6028-DB-1,Салатник мал.,Посуда,14,1738.24,258.77
2574-DB-1,Сковорода бол.,Посуда,2,2006.4,8.27
2574-DB-1,Комплект постельного белья цв. черный,Текстиль,4,20.77,3.56
2574-DB-1,Концентрат очищающий 0.5 л.,Бытовая химия,12,8434.13,69.36
8629-DB-1,Моющий гель 0.5 л.,Бытовая химия,18,676.83,231.44
8629-DB-1,Кастрюля мал.,Посуда,7,5616.65,97.39
8629-DB-1,Покрывало стеганое цв. белый,Текстиль,1,1742.59,809.4
8629-DB-1,Покрывало стеганое цв. черный,Текстиль,12,1671.97,106.25
8629-DB-1,Универсальный очиститель 5 л.,Бытовая химия,2,5086.8,707.8
2642-DB-1,Пиджак муж.,Одежда,9,3020.47,517.93
2642-DB-1,Подушка на стул цв. синий,Текстиль,10,3201.0,1119.4
2642-DB-1,Кастрюля сред.,Посуда,17,3100.81,938.48
9966-DB-1,Миска сред.,Посуда,8,6691.35,1441.35
7546-DB-1,Покрывало стеганое цв. белый,Текстиль,4,6560.8,2502.61
7546-DB-1,Куртка осенняя дет.,Одежда,5,2217.67,625.13
5917-DB-1,Полотенце кухонное цв. синий,Текстиль,3,8787.74,986.0
