doc_id,item,category,amount,price,discount
8617-DE-9,Кружка мал.,Посуда,1,6670.65,1650.8
8617-DE-9,Комплект постельного белья цв. зеленый,Текстиль,14,8936.4,1353.47
3609-DE-9,Свитер муж.,Одежда,20,1379.49,584.87
3609-DE-9,Сковорода сред.,Посуда,3,8111.35,2755.79
3609-DE-9,Комплект постельного белья цв. красный,Текстиль,3,399.6,31.6
7799-DE-9,Дезинфицирующий спрей 0.5 л.,Бытовая химия,2,9049.55,2535.62
5622-DE-9,Пальто зимнее жен.,Одежда,2,6984.53,1292.2
5622-DE-9,Миска мал.,Посуда,10,6322.83,2038.8
5622-DE-9,Комплект постельного белья цв. черный,Текстиль,13,5294.97,2123.78
5461-DE-9,Полотенце кухонное цв. черный,Текстиль,5,1890.37,525.25
5461-DE-9,Пальто зимнее муж.,Одежда,6,7298.17,2800.99
8653-DE-9,Комплект постельного белья цв. красный,Текстиль,19,9191.29,150.45
8653-DE-9,Миска бол.,Посуда,12,7839.4,690.78
3162-DE-9,Кастрюля бол.,Посуда,15,7315.58,1753.31
3162-DE-9,Пальто зимнее муж.,Одежда,8,6998.44,1139.64
3162-DE-9,Пальто зимнее дет.,Одежда,16,3464.58,332.23
3162-DE-9,Свитер жен.,Одежда,13,1597.77,499.9
3162-DE-9,Концентрат очищающий 0.5 л.,Бытовая химия,12,4585.24,1513.5
2501-DE-9,Футболка белая дет.,Одежда,14,1572.83,40.7
2501-DE-9,Куртка осенняя муж.,Одежда,12,5832.8,2869.7
6043-DE-9,Пальто зимнее муж.,Одежда,14,7607.48,644.94
6043-DE-9,Моющий гель 0.25 л.,Бытовая химия,10,4846.89,1152.33
1281-DE-9,Свитер муж.,Одежда,3,3365.79,468.69
3613-DE-9,Куртка осенняя муж.,Одежда,3,252.91,2.4
3613-DE-9,Дезинфицирующий спрей 0.5 л.,Бытовая химия,17,2367.63,691.74
3613-DE-9,Кружка мал.,Посуда,10,3631.35,1800.7
