doc_id,item,category,amount,price,discount
8415-AD-1,Пальто зимнее жен.,Одежда,12,9815.11,2580.49
2182-AD-1,Куртка осенняя муж.,Одежда,11,2760.89,918.42
2182-AD-1,Подушка на стул цв. зеленый,Текстиль,11,7649.62,2016.81
4695-AD-1,Миска мал.,Посуда,5,1987.89,6.24
4695-AD-1,Моющий гель 0.75 л.,Бытовая химия,16,5916.21,2089.67
4695-AD-1,Пиджак дет.,Одежда,18,3915.58,1061.0
4695-AD-1,Пиджак жен.,Одежда,12,6118.52,2899.8
4695-AD-1,Средство моющее 0.75 л.,Бытовая химия,11,8728.13,643.19
1827-AD-1,Миска мал.,Посуда,3,3799.73,1077.13
1827-AD-1,Кастрюля мал.,Посуда,12,6134.2,2264.19
1827-AD-1,Концентрат очищающий 0.75 л.,Бытовая химия,11,8533.15,1811.0
1827-AD-1,Моющий гель 0.5 л.,Бытовая химия,14,4301.98,184.5
1827-AD-1,Средство моющее 1 л.,Бытовая химия,3,2185.18,164.85
9507-AD-1,Покрывало стеганое цв. зеленый,Текстиль,15,4472.2,2179.72
9507-AD-1,Сковорода бол.,Посуда,18,8244.22,2734.12
5265-AD-1,Подушка на стул цв. белый,Текстиль,2,5778.45,1150.57
5265-AD-1,Кастрюля мал.,Посуда,12,5147.4,1340.97
5265-AD-1,Свитер жен.,Одежда,13,2520.67,597.4
1448-AD-1,Комплект постельного белья цв. белый,Текстиль,11,3452.83,942.39
1448-AD-1,Полотенце махровое цв. зеленый,Текстиль,1,3328.15,756.95
5144-AD-1,Моющий гель 0.5 л.,Бытовая химия,2,1312.63,163.46
5144-AD-1,Средство моющее 0.25 л.,Бытовая химия,5,1311.61,585.33
5144-AD-1,Средство моющее 0.25 л.,Бытовая химия,11,2676.36,906.73
5144-AD-1,Полотенце махровое цв. белый,Текстиль,9,4306.7,452.57
5144-AD-1,Подушка на стул цв. синий,Текстиль,7,9681.61,3514.35
1010-AD-1,Полотенце махровое цв. красный,Текстиль,13,7419.32,608.1
6947-AD-1,Покрывало стеганое цв. зеленый,Текстиль,10,6926.92,2347.5
6947-AD-1,Пальто зимнее жен.,Одежда,16,6671.63,2237.25
6947-AD-1,Кружка бол.,Посуда,2,8952.5,3828.69
6947-AD-1,Дезинфицирующий спрей 1 л.,Бытовая химия,15,4753.8,754.18
6947-AD-1,Кружка мал.,Посуда,17,7574.17,2259.9
4903-AD-1,Дезинфицирующий спрей 5 л.,Бытовая химия,19,5485.67,74.22
4903-AD-1,Покрывало стеганое цв. белый,Текстиль,20,1177.96,105.81
9408-AD-1,Салатник мал.,Посуда,18,3043.41,78.18
9408-AD-1,Полотенце кухонное цв. белый,Текстиль,9,7199.11,591.55
9408-AD-1,Куртка осенняя жен.,Одежда,13,3502.0,831.39
