doc_id,item,category,amount,price,discount
3309-EA-8,Моющий гель 0.5 л.,Бытовая химия,17,7221.5,1120.9
3309-EA-8,Универсальный очиститель 1 л.,Бытовая химия,14,941.45,296.32
3309-EA-8,Миска мал.,Посуда,20,4350.23,1315.48
3309-EA-8,Пиджак дет.,Одежда,17,3867.36,1568.2
3309-EA-8,Футболка белая муж.,Одежда,4,9041.19,2046.15
6653-EA-8,Миска мал.,Посуда,8,1833.33,870.4
6653-EA-8,Пиджак дет.,Одежда,15,5892.39,559.57
6653-EA-8,Полотенце кухонное цв. синий,Текстиль,11,7081.68,1536.65
6653-EA-8,Куртка осенняя жен.,Одежда,10,1678.16,757.9
6653-EA-8,Подушка на стул цв. черный,Текстиль,9,4375.9,441.29
4491-EA-8,Куртка осенняя жен.,Одежда,2,650.55,51.17
4491-EA-8,Пальто зимнее дет.,Одежда,3,5854.35,2899.73
4491-EA-8,Куртка осенняя жен.,Одежда,18,653.9,281.34
4491-EA-8,Средство моющее 0.25 л.,Бытовая химия,7,7231.25,2471.0
4362-EA-8,Свитер жен.,Одежда,14,5466.14,2469.48
1376-EA-8,Футболка белая дет.,Одежда,19,8069.11,3587.9
1415-EA-8,Комплект постельного белья цв. красный,Текстиль,12,7411.92,2654.41
1415-EA-8,Средство моющее 1 л.,Бытовая химия,6,4344.28,3.95
1415-EA-8,Кастрюля мал.,Посуда,17,7866.39,1530.41
3940-EA-8,Дезинфицирующий спрей 0.25 л.,Бытовая химия,12,6781.8,1829.42
3940-EA-8,Сковорода сред.,Посуда,15,554.18,138.5
9448-EA-8,Полотенце кухонное цв. белый,Текстиль,7,1705.98,322.72
2665-EA-8,Пиджак муж.,Одежда,19,4858.52,1804.6
2665-EA-8,Средство моющее 0.25 л.,Бытовая химия,18,3352.63,1577.0
5716-EA-8,Универсальный очиститель 0.25 л.,Бытовая химия,3,5143.53,1748.66
3351-EA-8,Салатник сред.,Посуда,20,3792.19,1830.0
3351-EA-8,Кружка мал.,Посуда,1,525.85,231.1
3351-EA-8,Куртка осенняя дет.,Одежда,13,6051.85,2367.0
3351-EA-8,Футболка белая дет.,Одежда,6,7830.64,2960.76
3351-EA-8,Пальто зимнее жен.,Одежда,2,7117.55,2068.61
3861-EA-8,Пиджак дет.,Одежда,12,2461.6,984.45
3861-EA-8,Кружка мал.,Посуда,2,3140.9,1220.66
8431-EA-8,Дезинфицирующий спрей 5 л.,Бытовая химия,5,4187.17,100.2
8431-EA-8,Полотенце кухонное цв. синий,Текстиль,13,5619.56,2737.63
8431-EA-8,Средство моющее 0.5 л.,Бытовая химия,18,8838.11,3590.27
3349-EA-8,Полотенце махровое цв. зеленый,Текстиль,2,8157.15,2658.46
3349-EA-8,Покрывало стеганое цв. красный,Текстиль,1,5997.32,33.43
3349-EA-8,Салатник бол.,Посуда,5,8223.25,832.9
3349-EA-8,Кружка мал.,Посуда,14,6553.57,2032.65
8264-EA-8,Куртка осенняя жен.,Одежда,1,8834.48,926.3
8264-EA-8,Сковорода сред.,Посуда,17,5366.65,812.75
8264-EA-8,Средство моющее 5 л.,Бытовая химия,20,4082.5,114.68
8264-EA-8,Пиджак дет.,Одежда,9,1122.48,257.2
8264-EA-8,Кастрюля бол.,Посуда,13,5788.15,338.1
3297-EA-8,Моющий гель 5 л.,Бытовая химия,6,5180.61,1163.23
3297-EA-8,Полотенце махровое цв. черный,Текстиль,18,3175.87,1572.76
8361-EA-8,Средство моющее 0.75 л.,Бытовая химия,18,367.54,6.24
9143-EA-8,Покрывало стеганое цв. синий,Текстиль,16,8494.5,3848.8
9143-EA-8,Куртка осенняя муж.,Одежда,19,6998.77,2920.99
9143-EA-8,Куртка осенняя дет.,Одежда,14,4812.5,1234.42
9143-EA-8,Салатник бол.,Посуда,4,6676.28,303.71
9143-EA-8,Полотенце махровое цв. белый,Текстиль,2,1484.92,373.19
3574-EA-8,Моющий гель 0.5 л.,Бытовая химия,11,1750.2,677.28
3574-EA-8,Дезинфицирующий спрей 0.25 л.,Бытовая химия,12,7559.82,3109.26
3574-EA-8,Кастрюля бол.,Посуда,16,640.2,307.94
1424-EA-8,Кружка бол.,Посуда,4,8246.56,477.36
1424-EA-8,Кастрюля бол.,Посуда,13,8723.85,2586.6
1424-EA-8,Полотенце махровое цв. зеленый,Текстиль,3,8434.78,4153.8
1424-EA-8,Дезинфицирующий спрей 0.75 л.,Бытовая химия,7,49.93,21.74
1424-EA-8,Миска мал.,Посуда,8,2571.18,554.89
7424-EA-8,Сковорода сред.,Посуда,18,6659.61,1762.72
7424-EA-8,Покрывало стеганое цв. черный,Текстиль,2,7221.95,3467.1
7424-EA-8,Комплект постельного белья цв. белый,Текстиль,15,4935.65,464.55
7424-EA-8,Свитер муж.,Одежда,16,2087.84,142.11
7424-EA-8,Концентрат очищающий 5 л.,Бытовая химия,15,1202.94,556.68
2544-EA-8,Футболка белая жен.,Одежда,20,1948.31,435.75
2544-EA-8,Футболка белая дет.,Одежда,6,4235.14,1595.99
2544-EA-8,Куртка осенняя муж.,Одежда,4,8263.67,1398.5
2544-EA-8,Концентрат очищающий 0.25 л.,Бытовая химия,8,5598.91,322.4
2544-EA-8,Кружка бол.,Посуда,12,4004.37,1757.2
9365-EA-8,Полотенце махровое цв. синий,Текстиль,15,6227.17,784.81
9365-EA-8,Покрывало стеганое цв. черный,Текстиль,19,668.94,229.51
9365-EA-8,Моющий гель 0.75 л.,Бытовая химия,1,8883.87,2792.57
9365-EA-8,Футболка белая муж.,Одежда,14,1793.48,707.57
2921-EA-8,Кастрюля мал.,Посуда,12,3249.88,1126.46
2921-EA-8,Сковорода бол.,Посуда,4,3680.25,109.66
2921-EA-8,Полотенце кухонное цв. черный,Текстиль,5,1353.25,313.35
2921-EA-8,Средство моющее 0.5 л.,Бытовая химия,12,7799.33,3723.53
2921-EA-8,Универсальный очиститель 1 л.,Бытовая химия,1,7098.36,2850.56
8451-EA-8,Пиджак дет.,Одежда,3,437.47,149.2
8451-EA-8,Комплект постельного белья цв. красный,Текстиль,18,4753.19,2175.88
8451-EA-8,Куртка осенняя муж.,Одежда,7,3119.22,1506.45
8451-EA-8,Концентрат очищающий 0.5 л.,Бытовая химия,15,5444.23,1556.67
8451-EA-8,Концентрат очищающий 0.75 л.,Бытовая химия,17,6012.52,538.39
6097-EA-8,Концентрат очищающий 1 л.,Бытовая химия,18,6059.34,132.86
